Chord,Label
G#m C#m A F#m G#m,1
F G Am Bm G Am Bm G,1
Cm Ab G Am Bm,1
F#m G#m C#m A Bm C,1
F7 E7 Ebm7 D7 E D7 E D7,1
Em C Dm F#dim G7,1
Cm Ab G Am Bm G Am,1
Em C A F#m G#m,1
F#m G#m C#m A F#m G#m F#m,1
F#m G#m F#m G#m C#m,1
C Dm F#dim G7,1
C A Bm G Am,1
F#m G#m C#m A Bm,1
F#m G#m C#m A F#m,1
F#m E D7 E D7 E D7 E,1
F#m G#m C#m A F#m E,1
F G Am Bm C Dm,1
Em C Dm F#dim G7,1
Cm Ab G Am Bm G,1
Em C A F#m G#m F#m E,1
G#m C#m A Bm C A F#m,1
Fm Dbmaj7 Db Bbm,1
F7 E7 Ebm7 D7 E,1
F G Am Bm C D,1
F#m G#m C#m A F#m G#m C#m A,1
Em C Dm F#dim G7,1
Cm Ab G Am Bm C,1
F G Am Bm C A,1
F G Am Bm G Am Bm,1
F#m E D7 E D7 E,1
Fm Dbmaj7 Db Bbm,1
F#m G#m F#m G#m F#m G#m,1
F G Am Bm G Am,1
G#m F#m G#m C#m A,1
F#m G#m F#m E D7 E D7,1
Fm Dbmaj7 Db Bbm,1
Fm Dbmaj7 Db Bbm,1
F#m G#m F#m E D7 E D7,1
Fm Dbmaj7 Db Bbm,1
C Dm F#dim G7,1
F#m E D7 E D7 E D7 E,1
Em C Dm F#dim G7,1
C Dm F#dim G7,1
Fm Dbmaj7 Db Bbm,1
F7 E7 Ebm7 D7 E D7 E D7,1
Fm Dbmaj7 Db Bbm,1
G#m C#m A Bm C Dm F#dim,1
G#m C#m A F#m G#m,1
Cm Ab G Am Bm C A F#m,1
F G Am Bm C Dm,1
F7 E7 Ebm7 D7 E D7,1
C Dm F#dim G7,1
F G Am Bm G,1
Fm Dbmaj7 Db Bbm,1
F7 E7 Ebm7 D7 E D7,1
F G Am Bm C D Bm C,1
Cm Ab G Am Bm C Dm F#dim,1
Em C D Bm G Am,1
C D Bm G Am Bm,1
C A Bm G Am Bm C,1
Fm Dbmaj7 Db Bbm,1
F#m E D7 E D7 E D7,1
F7 E7 Ebm7 D7 E D7 E D7,1
F7 E7 Ebm7 D7 E D7,1
F#m G#m C#m A Bm G,1
F#m E D7 E D7 E,1
C A Bm G Am Bm C,1
Cm Ab G Am Bm G Am Bm,1
Em C D Bm G Am Bm,1
Fm Dbmaj7 Db Bbm,1
Fm Dbmaj7 Db Bbm,1
F G Am Bm C A,1
Cm Ab G Am Bm C D,1
Fm Dbmaj7 Db Bbm,1
F#m G#m F#m G#m F#m E,1
Em C D Bm G Am,1
Cm Ab G Am Bm C Dm F#dim,1
F7 E7 Ebm7 D7 E D7,1
F#m G#m F#m G#m C#m A F#m,1
F#m G#m F#m G#m F#m G#m C#m A,1
F G Am Bm C A,1
Cm Ab G Am Bm C D,1
F G Am Bm C,1
F#m G#m C#m A Bm G,1
G#m F#m G#m F#m G#m,1
C D Bm C D Bm G Am,1
C Dm F#dim G7,1
F#m G#m C#m A Bm G,1
C Dm F#dim G7,1
F#m E D7 E D7 E D7,1
G#m F#m G#m C#m A Bm G Am,1
G#m C#m A Bm G Am Bm,1
C D Bm C A,1
Em C D Bm C Dm,1
F G Am Bm C D Bm G,1
F#m E D7 E D7 E,1
F#m E D7 E D7 E D7 E,1
F7 E7 Ebm7 D7 E D7 E D7,1
F G Am Bm G Am Bm C,1
F#m E D7 E D7 E D7,1
A C E D A,2
Bm Bm Em F Dm Fm C E,2
