time,ir
22,82606
41,112742
61,112764
81,112750
102,112760
122,112776
142,112777
162,112778
182,112784
202,112813
223,112818
243,112830
263,112814
283,112805
303,112792
323,112791
343,112767
364,112781
384,112759
404,112749
423,112765
444,112762
463,112749
483,112764
504,112772
525,112766
544,112768
565,112770
584,112769
604,112758
624,112778
646,112765
665,112758
686,112767
705,112783
724,112762
745,112765
764,112788
786,112779
806,112793
826,112779
845,112788
866,112786
885,112775
906,112795
927,112794
947,112782
966,112781
987,112784
1006,112755
1027,112767
1046,112771
1067,112778
1088,112777
1107,112771
1128,112779
1147,112788
1168,112791
1187,112795
1208,112801
1227,112808
1248,112792
1268,112813
1289,112812
1308,112810
1329,112810
1348,112811
1369,112813
1388,112809
1409,112828
1428,112848
1449,112832
1470,112842
1489,112837
1510,112837
1529,112846
1550,112859
1569,112836
1590,112824
1609,112812
1631,112786
1650,112787
1671,112793
1690,112804
1711,112809
1730,112819
1751,112822
1770,112815
1790,112817
1812,112817
1831,112815
1852,112825
1871,112833
1891,112814
1911,112829
1931,112835
1951,112816
1971,112830
1992,112842
2013,112851
2032,112853
2053,112867
2072,112881
2093,112862
2112,112868
2132,112858
2152,112851
2173,112861
2193,112866
2213,112866
2233,112833
2253,112822
2273,112818
2293,112811
2313,112807
2334,112770
2355,112792
2374,112793
2395,112795
2414,112788
2435,112778
2454,112795
2475,112795
2494,112810
2514,112802
2535,112805
2555,112798
2575,112798
2595,112783
2615,112797
2635,112802
2655,112803
2675,112835
2695,112818
2716,112827
2737,112824
2756,112831
2777,112848
2796,112842
2817,112851
2836,112842
2856,112852
2877,112838
2897,112815
2917,112792
2937,112784
2957,112790
2977,112791
2997,112785
3017,112796
3037,112809
3057,112798
3079,112812
3098,112796
3119,112804
3138,112805
3158,112809
3178,112813
3197,112807
3218,112812
3237,112818
3259,112822
3279,112820
3299,112834
3319,112819
3339,112822
3359,112838
3379,112844
3399,112840
3420,112843
3440,112858
3460,112872
3480,112865
3500,112852
3520,112838
3539,112810
3560,112798
3579,112800
3600,112785
3621,112780
3641,112792
3661,112816
3681,112816
3701,112807
3721,112805
3741,112789
3761,112807
3781,112814
3802,112812
3822,112812
3842,112808
3862,112807
3881,112802
3902,112816
3921,112819
3942,112830
3961,112846
3983,112837
4003,112841
4023,112849
4043,112849
4063,112855
4083,112851
4103,112861
4123,112858
4143,112852
4164,112857
4184,112826
4204,112832
4224,112812
4244,112810
4263,112816
4284,112824
4303,112839
4324,112842
4344,112848
4365,112842
4384,112851
4405,112862
4424,112860
4445,112826
4464,112834
4485,112830
4504,112858
4526,112842
4546,112862
4566,112869
4586,112870
4605,112867
4626,112875
4645,112869
4666,112872
4685,112871
4707,112888
4726,112887
4747,112888
4766,112915
4787,112886
4806,112871
4827,112857
4846,112840
4867,112825
4888,112833
4908,112839
4928,112823
4947,112846
4968,112858
4987,112869
5008,112859
5027,112851
5048,112868
5068,112867
5089,112873
5108,112868
5129,112877
5148,112891
5169,112869
5188,112882
5209,112907
5228,112904
5250,112913
5270,112918
5289,112897
5310,112913
5329,112926
5350,112918
5369,112917
5390,112933
5409,112897
5430,112886
5450,112875
5471,112847
5490,112848
5511,112852
5530,112843
5551,112859
5570,112872
5591,112878
5610,112862
5632,112883
5652,112883
5671,112888
5692,112894
5711,112897
5732,112880
5751,112889
5772,112910
5791,112902
5813,112917
5832,112904
5853,112912
5872,112915
5893,112916
5912,112923
5933,112918
5952,112927
5972,112916
5994,112932
6013,112934
6034,112914
6053,112923
6074,112911
6093,112883
6114,112871
6133,112858
6154,112867
6174,112875
6195,112870
6214,112896
6235,112910
6254,112900
6275,112901
6294,112912
6315,112912
6334,112917
6354,112913
6376,112910
6395,112910
6416,112915
6435,112929
6456,112941
6475,112936
6496,112933
6515,112942
6535,112935
6556,112971
6577,112967
6596,112979
6617,112961
6636,112967
6657,112968
6676,112986
6696,112971
6716,112953
6737,112940
6757,112906
6777,112913
6797,112900
6817,112903
6837,112907
6857,112908
6877,112914
6897,112921
6919,112921
6938,112902
6959,112910
6978,112901
6999,112891
7018,112927
7038,112917
7058,112925
7078,112922
7098,112915
7119,112914
7139,112935
7159,112937
7180,112946
7199,112953
7220,112930
7239,112966
7259,112971
7279,112964
7301,112935
7320,112928
7341,112901
7360,112862
7380,112860
7400,112827
7420,112815
7440,112816
7460,112826
7481,112831
7501,112817
7521,112805
