Chord,Label
Em C D Bm C A Bm,1
F7 E7 Ebm7 D7 E D7,1
Em C Dm F#dim G7,1
F7 E7 Ebm7 D7 E D7 E,1
C Dm F#dim G7,1
F G Am Bm G,1
F#m G#m F#m G#m F#m,1
F#m E D7 E D7,1
Fm Dbmaj7 Db Bbm,1
C D Bm C A F#m,1
F G Am Bm G Am Bm,1
F#m G#m C#m A Bm G Am,1
Em C Dm F#dim G7,1
F7 E7 Ebm7 D7 E D7,1
F#m G#m C#m A F#m G#m C#m,1
Fm Dbmaj7 Db Bbm,1
F G Am Bm C Dm F#dim,1
Fm Dbmaj7 Db Bbm,1
C A Bm G Am Bm G,1
F#m E D7 E D7 E,1
Fm Dbmaj7 Db Bbm,1
C A Bm G Am Bm C A,1
Fm Dbmaj7 Db Bbm,1
Em C A F#m G#m C#m A F#m,1
Fm Dbmaj7 Db Bbm,1
F#m G#m C#m A F#m,1
C Dm F#dim G7,1
C Dm F#dim G7,1
F#m G#m C#m A Bm G Am,1
G#m F#m G#m C#m A,1
F#m G#m C#m A Bm G,1
Fm Dbmaj7 Db Bbm,1
G#m F#m E D7 E D7 E D7,1
F#m G#m C#m A F#m G#m F#m G#m,1
F G Am Bm C Dm F#dim G7,1
F G Am Bm C D Bm,1
Em C A F#m G#m,1
G#m C#m A Bm G Am Bm C,1
F#m G#m F#m G#m F#m E D7 E,1
F#m E D7 E D7 E,1
F#m G#m C#m A Bm C,1
Em C D Bm G,1
C A Bm G Am Bm C Dm,1
Em C A Bm G Am Bm G,1
F#m E D7 E D7 E,1
F#m G#m C#m A Bm,1
F7 E7 Ebm7 D7 E D7 E D7,1
Em C D Bm G Am Bm,1
Cm Ab G Am Bm G Am Bm,1
C A F#m E D7 E D7 E,1
F7 E7 Ebm7 D7 E,1
Fm Dbmaj7 Db Bbm,1
Cm Ab G Am Bm C Dm F#dim,1
F#m G#m C#m A Bm,1
C A Bm C D Bm C,1
F#m G#m F#m E D7 E D7 E,1
C D Bm C Dm F#dim,1
F#m E D7 E D7 E D7 E,1
G#m F#m G#m C#m A F#m E,1
Cm Ab G Am Bm,1
F G Am Bm C D,1
F#m G#m F#m G#m C#m A Bm G,1
F#m G#m C#m A F#m G#m F#m E,1
Fm Dbmaj7 Db Bbm,1
Cm Ab G Am Bm,1
Fm Dbmaj7 Db Bbm,1
F#m G#m C#m A F#m G#m,1
Cm Ab G Am Bm C,1
F G Am Bm C D Bm,1
Em C Dm F#dim G7,1
F7 E7 Ebm7 D7 E D7,1
F#m G#m C#m A Bm,1
F#m G#m F#m G#m C#m A Bm,1
F#m G#m F#m G#m F#m G#m C#m,1
F7 E7 Ebm7 D7 E D7 E D7,1
F#m G#m F#m G#m F#m G#m C#m,1
G#m C#m A F#m G#m F#m G#m F#m,1
Cm Ab G Am Bm C Dm,1
F7 E7 Ebm7 D7 E D7,1
F#m E D7 E D7 E D7,1
C D Bm G Am Bm C D,1
F G Am Bm G,1
Em C A F#m G#m C#m,1
C Dm F#dim G7,1
Cm Ab G Am Bm C,1
Em C A Bm G,1
Cm Ab G Am Bm C D Bm,1
F7 E7 Ebm7 D7 E D7 E D7,1
G#m F#m G#m F#m G#m,1
F#m G#m C#m A Bm,1
Fm Dbmaj7 Db Bbm,1
Em C Dm F#dim G7,1
G#m F#m G#m C#m A F#m,1
G#m C#m A F#m G#m C#m,1
F#m G#m C#m A F#m G#m F#m,1
F#m G#m F#m G#m F#m G#m,1
C A Bm G Am Bm G Am,1
G#m C#m A F#m G#m,1
G#m C#m A Bm C Dm,1
Em C Dm F#dim G7,1
F#m Bm7 Gmaj7 D A E D,2
Am Dm C Dm C Dm,2
C D A G F,2
F#m D A G F#,2
G F#,2
Am Dm C D A,2
Em F Dm Fm C,2
C#m F#m7 C#m7,2
Em Bm Bm Em F Dm C,2
Bm A E F#m Bm A,2
F#m Bm7 Gmaj7 D A C E,2
G F#,2
D#m7 C#sus4 D#m G#m7,2
A G Em Bm Bm A,2
F#m Bm7 Gmaj7 D A G A,2
G Em F Dm Fm C,2
C Dm C E D A C,2
Am Dm C D A,2
Am G C Dm Fm C Dm,2
G Cm Fm7 Eb,2
Bm Em F Dm Am Dm Am,2
G A G F Dm Am Dm Am,2
F#m D A E F#m,2
A E F#m Bm7 Gmaj7 D A C,2
F#m D A E D A,2
F#m D A E F#m,2
F#m D A C D A,2
G F Dm Am G,2
Am Dm Fm C E D A,2
Am Dm Fm C D,2
F#m Bm Bm Bm A C,2
Am G Cm Fm7 Eb,2
F#m Bm Em F Dm Fm C E,2
Em F Dm Fm C E F#m Bm,2
A E F#m Bm Em Bm Em Bm,2
Em F Dm Am G C E,2
Am Dm C Dm Fm,2
G F#,2
F#m Bm Em Bm Bm G F Dm,2
